Nombre,URL,Descripción,Categoría,Marca,Precio,Moneda,Disponibilidad,Fecha Precio Válido
"IJA Type 97 ""Chi-Ha"" 57mm Turret and New Hull",https://modelplasticworld.com/es/modelos-a-escala/6750-ija-type-97-chi-ha-57mm-turret-and-new-hull-089195868756.html,Referencia: DRA6875 IJA Type 97 &quot;Chi-Ha&quot; 57mm Turret and New Hull Escala:1:35 PVP:45.75€,Modelos a escala,Model Plastic World,31.29,EUR,https://schema.org/OutOfStock,2025-03-12
Pz.Kpfw.IV Ausf.D Smart Kit,https://modelplasticworld.com/es/vehiculos-terrestres-/6749--pzkpfwiv-ausfd-smart-kit-89195868732.html,Referencia: DRA6873  Pz.Kpfw.IV Ausf.D Smart Kit Escala:1:35 PVP:44.55€,Vehículos terrestres,Model Plastic World,30.47,EUR,https://schema.org/OutOfStock,2025-03-12
Sd.Kfz.251 D 28/32cm Wurfrahmen 40,https://modelplasticworld.com/es/modelos-a-escala/6748-sdkfz251-d-2832cm-wurfrahmen-40-89195868619.html,Referencia: DRA6861 Sd.Kfz.251 D 28/32cm Wurfrahmen 40 Escala:1:35 PVP:51.84€,Modelos a escala,Model Plastic World,39.0,EUR,https://schema.org/InStock,2025-03-12
Panther Ausf. D V2,https://modelplasticworld.com/es/modelos-a-escala/6747-panther-ausf-d-v2-89195868220.html,Referencia: DRA6822 Panther Ausf. D V2 Escala:1:35 PVP:48.60€,Modelos a escala,Model Plastic World,36.57,EUR,https://schema.org/InStock,2025-03-12
Pz.Kpfw. VI Ausf E Sd.Kfz. 181 Wittmann's Last Tiger,https://modelplasticworld.com/es/modelos-a-escala/6743--pzkpfw-vi-ausf-e-sdkfz-181-wittmann-s-last-tiger-089195868008.html,Referencia: DRA6800 Pz.Kpfw. VI Ausf E Sd.Kfz. 181 Wittmann&#039;s Last Tiger Escala:1:35 PVP:56.70€,Modelos a escala,Model Plastic World,42.66,EUR,https://schema.org/InStock,2025-03-12
Sd.Kfz.181 Pz.Kpfw.VI Ausf.E Tiger I Mid Production,https://modelplasticworld.com/es/modelos-a-escala/6736-sdkfz181-pzkpfwvi-ausfe-tiger-i-mid-production-89195866240.html,Referencia: DRA6624 Sd.Kfz.181 Pz.Kpfw.VI Ausf.E Tiger I Mid Production Escala:1:35 PVP:58.99€,Modelos a escala,Model Plastic World,44.38,EUR,https://schema.org/OutOfStock,2025-03-12
JS-2 Stalin II (3 in 1) + Soviet Infantry Tank Riders,https://modelplasticworld.com/es/modelos-a-escala/6734-js-2-stalin-ii-3-in-1-soviet-infantry-tank-riders.html,referencia: DRA6537 JS-2 Stalin II (3 in 1) + Soviet Infantry Tank Riders Escala:1:35 PVP:42.40€,Modelos a escala,Model Plastic World,31.9,EUR,https://schema.org/OutOfStock,2025-03-12
Gruppe Fehrmann Tiger I,https://modelplasticworld.com/es/modelos-a-escala/6730-56-089195864840.html,Referencia: DRA6484 Gruppe Fehrmann Tiger I Escala:1:35 PVP:56.10€,Modelos a escala,Model Plastic World,42.21,EUR,https://schema.org/OutOfStock,2025-03-12
Sd.Kfz.138/1 Geschützwagen 38 H für s.IG.33/1,https://modelplasticworld.com/es/modelos-a-escala/6729-sdkfz1381-geschuetzwagen-38-h-fuer-sig331-089195864703.html,Referencia: DRA6470 Sd.Kfz.138/1 Geschützwagen 38 H für s.IG.33/1 Escala:1:35 PVP:52.75€,Modelos a escala,Model Plastic World,39.69,EUR,https://schema.org/OutOfStock,2025-03-12
SDKFZ 7 8T HALFTRACK Initial Production,https://modelplasticworld.com/es/modelos-a-escala/6728-sdkfz-7-8t-halftrack-initial-production-089195864666.html,Referencia: DRA6466 SDKFZ 7 8T HALFTRACK Initial Production Escala:1:35 PVP:47.65€,Modelos a escala,Model Plastic World,35.85,EUR,https://schema.org/OutOfStock,2025-03-12
